epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.25035834312438965,0.505242645740509,9.999999747378752e-05,2.0626468658447266,0.24656569957733154,0.16722407937049866,0.21626794338226318,0.5129666328430176,1.4572577476501465,0.0,0.0
1,0.23936933279037476,0.4882526099681854,9.999999747378752e-05,1.9893583059310913,0.2377202808856964,0.15145723521709442,0.2172248810529709,0.47300171852111816,1.5304378271102905,0.0,0.0
2,0.2551361620426178,0.5019358396530151,9.999999747378752e-05,1.8768059015274048,0.2528207302093506,0.14452938735485077,0.21626794338226318,0.45335882902145386,1.5398404598236084,0.0,0.0
3,0.25465837121009827,0.4937448799610138,9.999999747378752e-05,1.8320783376693726,0.24740874767303467,0.1311514526605606,0.21435406804084778,0.44080084562301636,1.4484367370605469,0.0,0.0
4,0.23936933279037476,0.49380698800086975,9.999999747378752e-05,1.7778615951538086,0.24755859375,0.12111800909042358,0.21052631735801697,0.4640147089958191,1.4039347171783447,0.0,0.0
5,0.24820831418037415,0.509007453918457,9.999999747378752e-05,1.698872447013855,0.2515822649002075,0.11395126581192017,0.2956937849521637,0.5064942240715027,1.4268805980682373,0.0,0.0
6,0.23124700784683228,0.49423086643218994,9.999999747378752e-05,1.7070393562316895,0.23389436304569244,0.09627329558134079,0.21626794338226318,0.4925665855407715,1.4057354927062988,0.0,0.0
7,0.24916388094425201,0.5071292519569397,9.999999747378752e-05,1.657811164855957,0.2526780068874359,0.09579551219940186,0.2880382835865021,0.4939993917942047,1.427251935005188,0.0,0.0
8,0.2455805093050003,0.49498656392097473,9.999999747378752e-05,1.6694368124008179,0.2366463840007782,0.08361203968524933,0.24019138514995575,0.5135380029678345,1.400422215461731,0.0,0.0
9,0.24916388094425201,0.4965132474899292,9.999999747378752e-05,1.6437920331954956,0.2525547444820404,0.08265647292137146,0.19712918996810913,0.49815481901168823,1.402578353881836,0.0,0.0
10,0.26278069615364075,0.5129311680793762,9.999999747378752e-05,1.6094741821289062,0.262899249792099,0.07668418437242508,0.19712918996810913,0.47505033016204834,1.40768563747406,0.0,0.0
11,0.2513138949871063,0.5060522556304932,9.999999747378752e-05,1.6184813976287842,0.27257239818573,0.07644529640674591,0.2956937849521637,0.5044388175010681,1.4082008600234985,0.0,0.0
12,0.2527472674846649,0.5018045902252197,9.999999747378752e-05,1.5962663888931274,0.2686849534511566,0.06784519553184509,0.27464115619659424,0.4911208152770996,1.3960055112838745,0.0,0.0
13,0.25489726662635803,0.50592440366745,9.999999747378752e-05,1.5751010179519653,0.24895396828651428,0.0568561889231205,0.2956937849521637,0.5301105976104736,1.4016828536987305,0.0,0.0
14,0.25394171476364136,0.503148078918457,9.999999747378752e-05,1.5667047500610352,0.28683915734291077,0.06091734394431114,0.2976076602935791,0.5592628121376038,1.380179762840271,0.0,0.0
15,0.2534639239311218,0.4977857172489166,9.999999747378752e-05,1.572392225265503,0.24238578975200653,0.04562828317284584,0.21626794338226318,0.5163854360580444,1.40492844581604,0.0,0.0
16,0.24988055229187012,0.49543771147727966,9.999999747378752e-05,1.5659102201461792,0.24686716496944427,0.04706163331866264,0.2956937849521637,0.5073336362838745,1.3911819458007812,0.0,0.0
17,0.23817487061023712,0.49578696489334106,9.999999747378752e-05,1.551645278930664,0.22969187796115875,0.039178211241960526,0.2956937849521637,0.4999108612537384,1.3919334411621094,0.0,0.0
18,0.24366937577724457,0.4927792251110077,9.999999747378752e-05,1.53993558883667,0.24088747799396515,0.03631151467561722,0.21626794338226318,0.5192348957061768,1.3865866661071777,0.0,0.0
19,0.262541800737381,0.509727954864502,9.999999747378752e-05,1.5206583738327026,0.2658862769603729,0.03798375651240349,0.290909081697464,0.5553886890411377,1.378017783164978,0.0,0.0
20,0.24916388094425201,0.48970067501068115,9.999999747378752e-05,1.5314574241638184,0.2737642526626587,0.03440038114786148,0.2956937849521637,0.5105845928192139,1.3947293758392334,0.0,0.0
21,0.25776398181915283,0.5087279081344604,9.999999747378752e-05,1.504740595817566,0.26229506731033325,0.030578117817640305,0.2956937849521637,0.5351201891899109,1.384001612663269,0.0,0.0
22,0.2501194477081299,0.49917203187942505,9.999999747378752e-05,1.5064259767532349,0.2445414811372757,0.02675585262477398,0.21531100571155548,0.4705951511859894,1.39427649974823,0.0,0.0
23,0.2501194477081299,0.49943456053733826,9.999999747378752e-05,1.5041388273239136,0.2528473734855652,0.026516960933804512,0.290909081697464,0.5381592512130737,1.3839194774627686,0.0,0.0
24,0.2448638379573822,0.4971979856491089,9.999999747378752e-05,1.5017123222351074,0.2401960790157318,0.023411370813846588,0.24976076185703278,0.5170585513114929,1.3891557455062866,0.0,0.0
25,0.24366937577724457,0.4951480031013489,9.999999747378752e-05,1.4963380098342896,0.23834197223186493,0.021978022530674934,0.27368420362472534,0.4961578845977783,1.3954546451568604,0.0,0.0
26,0.24868609011173248,0.4932210147380829,9.999999747378752e-05,1.4998458623886108,0.1911357343196869,0.016483517363667488,0.290909081697464,0.5226619243621826,1.3852232694625854,0.0,0.0
27,0.25919732451438904,0.5026275515556335,1.9999999494757503e-05,1.4772001504898071,0.21739129722118378,0.01552795059978962,0.19712918996810913,0.4877554476261139,1.3886830806732178,0.0,0.0
28,0.2513138949871063,0.5029171705245972,1.9999999494757503e-05,1.482208490371704,0.2522796392440796,0.01982799731194973,0.2181818187236786,0.47454696893692017,1.3886629343032837,0.0,0.0
29,0.2541806101799011,0.5000601410865784,1.9999999494757503e-05,1.471488356590271,0.2792207896709442,0.02054467238485813,0.2172248810529709,0.4977940320968628,1.3870456218719482,0.0,0.0
30,0.25465837121009827,0.5002983212471008,1.9999999494757503e-05,1.4687687158584595,0.254612535238266,0.016483517363667488,0.19808612763881683,0.4861251711845398,1.3875420093536377,0.0,0.0
31,0.23889154195785522,0.49072882533073425,1.9999999494757503e-05,1.4791418313980103,0.2635135054588318,0.018633540719747543,0.19712918996810913,0.4854200780391693,1.3897995948791504,0.0,0.0
32,0.2618251442909241,0.505172610282898,1.9999999494757503e-05,1.4618873596191406,0.26829269528388977,0.018394649028778076,0.19617225229740143,0.49441391229629517,1.387812852859497,0.0,0.0
33,0.24940277636051178,0.5014176964759827,1.9999999494757503e-05,1.462790846824646,0.22039473056793213,0.016005733981728554,0.19712918996810913,0.45931077003479004,1.3933870792388916,0.0,0.0
