epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.24247491359710693,0.4960291087627411,0.0010000000474974513,1.8235936164855957,0.2956937849521637,0.5366008281707764,1.4200891256332397
1,0.24916388094425201,0.4953421652317047,0.0010000000474974513,1.6269522905349731,0.290909081697464,0.5604763031005859,1.3757902383804321
2,0.260869562625885,0.5113609433174133,0.0010000000474974513,1.5239077806472778,0.290909081697464,0.49693581461906433,1.3983219861984253
3,0.24892498552799225,0.49386486411094666,0.0010000000474974513,1.5057556629180908,0.21626794338226318,0.44651877880096436,1.414298415184021
4,0.24366937577724457,0.49907565116882324,0.0010000000474974513,1.473961353302002,0.290909081697464,0.49453094601631165,1.4150445461273193
5,0.24462494254112244,0.4965362548828125,0.0010000000474974513,1.459011197090149,0.19712918996810913,0.46634769439697266,1.4215023517608643
6,0.2376970797777176,0.49030742049217224,0.0010000000474974513,1.4450162649154663,0.19712918996810913,0.438368022441864,1.4101306200027466
7,0.2462971806526184,0.5008543133735657,0.0005000000237487257,1.4282423257827759,0.21626794338226318,0.4791068434715271,1.3916536569595337
8,0.24008600413799286,0.5055060386657715,0.0005000000237487257,1.4207295179367065,0.21626794338226318,0.44545453786849976,1.394091248512268
9,0.2520305812358856,0.504473090171814,0.0005000000237487257,1.4210604429244995,0.2956937849521637,0.4996313750743866,1.3948783874511719
10,0.2419971376657486,0.4947837293148041,0.0005000000237487257,1.4170773029327393,0.2956937849521637,0.5615033507347107,1.3768950700759888
11,0.25179168581962585,0.5044345855712891,0.0005000000237487257,1.415894627571106,0.23062200844287872,0.488357275724411,1.3926297426223755
