epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.2632584869861603,0.5169612765312195,4.999999873689376e-05,2.0838375091552734,0.26557910442352295,0.19445770978927612,0.27368420362472534,0.5362673401832581,1.5970960855484009,0.29223743081092834,0.12248803675174713
1,0.29694217443466187,0.5578433871269226,4.999999873689376e-05,1.8976613283157349,0.3078964948654175,0.22169135510921478,0.24976076185703278,0.5281587243080139,1.7830884456634521,0.25964391231536865,0.16746412217617035
2,0.34161490201950073,0.5992299914360046,4.999999873689376e-05,1.7403258085250854,0.37103918194770813,0.2601528763771057,0.27464115619659424,0.5304078459739685,1.7968356609344482,0.26584234833717346,0.16459329426288605
3,0.34280937910079956,0.6084267497062683,4.999999873689376e-05,1.6929442882537842,0.3632107079029083,0.2594362199306488,0.2641148269176483,0.5288575291633606,1.7754850387573242,0.2541353404521942,0.16172248125076294
4,0.37123745679855347,0.6364632248878479,4.999999873689376e-05,1.6020021438598633,0.4056105613708496,0.2935976982116699,0.27272728085517883,0.5442838072776794,1.6856824159622192,0.2711571753025055,0.1502392292022705
5,0.38795986771583557,0.650568425655365,4.999999873689376e-05,1.547894835472107,0.41422873735427856,0.29765886068344116,0.2880382835865021,0.5583987236022949,1.6550824642181396,0.29900333285331726,0.17224881052970886
6,0.4073100686073303,0.664677619934082,4.999999873689376e-05,1.5157239437103271,0.43224531412124634,0.3131868243217468,0.3023923337459564,0.5713843107223511,1.6722383499145508,0.32213741540908813,0.20191387832164764
7,0.4214046895503998,0.6899114847183228,4.999999873689376e-05,1.427657127380371,0.46470004320144653,0.33492594957351685,0.31196171045303345,0.5809696316719055,1.5725184679031372,0.3172042965888977,0.16937799751758575
8,0.44505494832992554,0.707933247089386,4.999999873689376e-05,1.3686261177062988,0.488473117351532,0.3492594361305237,0.31196171045303345,0.581692099571228,1.611626148223877,0.31789135932922363,0.1904306262731552
9,0.44194936752319336,0.709960401058197,4.999999873689376e-05,1.3745471239089966,0.487008661031723,0.3492594361305237,0.3349282443523407,0.6086408495903015,1.5851032733917236,0.3602391481399536,0.23062200844287872
10,0.4801720082759857,0.7343241572380066,4.999999873689376e-05,1.2951053380966187,0.526298463344574,0.3824653625488281,0.3368421196937561,0.6202901005744934,1.643510341644287,0.3630041778087616,0.24976076185703278
11,0.49307215213775635,0.7516842484474182,4.999999873689376e-05,1.255757212638855,0.54136061668396,0.40492117404937744,0.34736841917037964,0.623744547367096,1.582223892211914,0.3883058428764343,0.24784688651561737
12,0.511944591999054,0.7711419463157654,4.999999873689376e-05,1.1973437070846558,0.5625391006469727,0.42976588010787964,0.34641149640083313,0.6200244426727295,1.462203860282898,0.3813229501247406,0.1875598132610321
13,0.534639298915863,0.7870837450027466,4.999999873689376e-05,1.1407947540283203,0.5846824645996094,0.44863831996917725,0.38468900322914124,0.657544732093811,1.455588698387146,0.43035992980003357,0.2631579041481018
14,0.5456283092498779,0.7940157651901245,4.999999873689376e-05,1.1270467042922974,0.5953530669212341,0.47133302688598633,0.4028708040714264,0.666155993938446,1.4032326936721802,0.46305418014526367,0.26985645294189453
15,0.571906328201294,0.8136489391326904,4.999999873689376e-05,1.062388300895691,0.625901460647583,0.49761107563972473,0.42009568214416504,0.6888729333877563,1.3602114915847778,0.47214075922966003,0.30813395977020264
16,0.5852842926979065,0.8259092569351196,4.999999873689376e-05,1.025530457496643,0.6335697174072266,0.5121834874153137,0.43062201142311096,0.706088662147522,1.3558968305587769,0.47983309626579285,0.330143541097641
17,0.6182513236999512,0.8501705527305603,4.999999873689376e-05,0.9394760131835938,0.673194944858551,0.5501672029495239,0.42392343282699585,0.7063694000244141,1.4154189825057983,0.4587039351463318,0.34545454382896423
18,0.645723819732666,0.8669573068618774,4.999999873689376e-05,0.8815718293190002,0.6991940140724182,0.5802675485610962,0.5110048055648804,0.7740827202796936,1.1725777387619019,0.5654993653297424,0.4172248840332031
19,0.65766841173172,0.8744121193885803,4.999999873689376e-05,0.8592096567153931,0.7136752009391785,0.5984233021736145,0.5837320685386658,0.814262330532074,1.0789604187011719,0.6327751278877258,0.5062201023101807
20,0.692307710647583,0.8896810412406921,4.999999873689376e-05,0.8019295930862427,0.731700599193573,0.6352126002311707,0.600956916809082,0.8392583131790161,0.9828121662139893,0.6581196784973145,0.5157894492149353
21,0.6985188722610474,0.8993262648582458,4.999999873689376e-05,0.7632623910903931,0.7429347634315491,0.6531294584274292,0.5655502676963806,0.8105629682540894,1.09478759765625,0.6171497702598572,0.488995224237442
22,0.7107023596763611,0.9094617366790771,4.999999873689376e-05,0.7263004779815674,0.7557951211929321,0.6698518991470337,0.638277530670166,0.8637318015098572,0.9119299054145813,0.6896551847457886,0.5741626620292664
23,0.7338747978210449,0.9221718311309814,4.999999873689376e-05,0.661140501499176,0.7726293206214905,0.6851409673690796,0.6727272868156433,0.8847548961639404,0.8362733125686646,0.7210348844528198,0.6133971214294434
