,precision,recall,f1-score,support
autumn,0.2696456086286595,0.33081285444234404,0.2971137521222411,529.0
spring,0.3441466854724965,0.3490701001430615,0.3465909090909091,699.0
summer,0.35564853556485354,0.2715654952076677,0.3079710144927536,626.0
winter,0.36306729264475746,0.37359098228663445,0.3682539682539682,621.0
accuracy,0.33171717171717174,0.33171717171717174,0.33171717171717174,0.33171717171717174
macro avg,0.3331270305776918,0.3312598580199269,0.32998241098996806,2475.0
weighted avg,0.3358795281235671,0.33171717171717174,0.33168314734763193,2475.0
