epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.2725752592086792,0.5162454843521118,1.9999999494757503e-05,1.5764575004577637,0.276091068983078,0.06951744109392166,0.3215310871601105,0.5716863870620728,1.3911210298538208,0.37735849618911743,0.019138755276799202
1,0.3112756907939911,0.5600230693817139,1.9999999494757503e-05,1.48335599899292,0.3454894423484802,0.086000956594944,0.28229665756225586,0.5485211610794067,1.4721393585205078,0.365217387676239,0.04019138589501381
2,0.3344481587409973,0.5911352634429932,1.9999999494757503e-05,1.4359872341156006,0.40069687366485596,0.10989011079072952,0.3684210479259491,0.6234837174415588,1.3438369035720825,0.42603549361228943,0.06889951974153519
3,0.35738176107406616,0.6140317916870117,1.9999999494757503e-05,1.3914889097213745,0.44240838289260864,0.12111800909042358,0.3712918758392334,0.6578532457351685,1.3121148347854614,0.4491978585720062,0.08038277179002762
4,0.3805542290210724,0.6360419392585754,1.9999999494757503e-05,1.3628785610198975,0.4367521405220032,0.12207357585430145,0.3808612525463104,0.6452300548553467,1.340891718864441,0.45270270109176636,0.12822966277599335
5,0.40038222074508667,0.6547931432723999,1.9999999494757503e-05,1.3318815231323242,0.4815465807914734,0.13091257214546204,0.43157893419265747,0.6902708411216736,1.2613730430603027,0.5419847369194031,0.13588516414165497
6,0.4068323075771332,0.6642652750015259,1.9999999494757503e-05,1.3139581680297852,0.5029338002204895,0.14333492517471313,0.46507176756858826,0.7122559547424316,1.230311393737793,0.6279069781303406,0.12918660044670105
7,0.4204491078853607,0.6714577674865723,1.9999999494757503e-05,1.2983230352401733,0.5280135869979858,0.14859053492546082,0.4861243963241577,0.7154597043991089,1.225356936454773,0.6101694703102112,0.13779903948307037
8,0.44290491938591003,0.6857359409332275,1.9999999494757503e-05,1.273820161819458,0.5420315265655518,0.1478738635778427,0.5004784464836121,0.7264235615730286,1.211872935295105,0.6753926873207092,0.12344497442245483
9,0.44935500621795654,0.6925941109657288,1.9999999494757503e-05,1.2650343179702759,0.5367825627326965,0.15862397849559784,0.5167464017868042,0.7514899969100952,1.1714340448379517,0.6708333492279053,0.15406697988510132
10,0.47181078791618347,0.7078579664230347,1.9999999494757503e-05,1.2357808351516724,0.5904088020324707,0.17940755188465118,0.5033493041992188,0.7394095063209534,1.1898162364959717,0.6714285612106323,0.17990431189537048
