,precision,recall,f1-score,support
autumn,0.2579505300353357,0.27599243856332706,0.26666666666666666,529.0
spring,0.325748502994012,0.38912732474964234,0.35462842242503256,699.0
summer,0.3213213213213213,0.34185303514376997,0.33126934984520123,626.0
winter,0.38480392156862747,0.2528180354267311,0.30515063168124396,621.0
accuracy,0.3187878787878788,0.3187878787878788,0.3187878787878788,0.3187878787878788
macro avg,0.3224560689798241,0.3149477084708676,0.31442876765453615,2475.0
weighted avg,0.3249553197667765,0.3187878787878788,0.3175050865530961,2475.0
