epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.2603917717933655,0.5006281733512878,0.0010000000474974513,1.8250385522842407,0.290909081697464,0.5585333108901978,1.3799407482147217
1,0.2644529342651367,0.5158257484436035,0.0010000000474974513,1.5762510299682617,0.21626794338226318,0.5074353814125061,1.423382043838501
2,0.24390827119350433,0.5056654810905457,0.0010000000474974513,1.5343502759933472,0.21626794338226318,0.5080209970474243,1.3946996927261353
3,0.24605828523635864,0.49191948771476746,0.0010000000474974513,1.5128594636917114,0.19712918996810913,0.4899691045284271,1.3945364952087402
4,0.2427138090133667,0.4896126389503479,0.0010000000474974513,1.4835429191589355,0.21626794338226318,0.5096682906150818,1.3968772888183594
5,0.24605828523635864,0.4917072057723999,0.0010000000474974513,1.4553500413894653,0.21626794338226318,0.4800634980201721,1.400786280632019
6,0.24032489955425262,0.49558526277542114,0.0005000000237487257,1.4443552494049072,0.21626794338226318,0.4626794159412384,1.3928965330123901
7,0.25848063826560974,0.5080416202545166,0.0005000000237487257,1.4314197301864624,0.19712918996810913,0.43833231925964355,1.3978276252746582
8,0.23745819926261902,0.4894575774669647,0.0005000000237487257,1.4270691871643066,0.290909081697464,0.4955461919307709,1.4017305374145508
9,0.25537505745887756,0.5028715133666992,0.0005000000237487257,1.4285646677017212,0.290909081697464,0.5007510781288147,1.3950388431549072
10,0.2470138520002365,0.5072718858718872,0.0005000000237487257,1.4122542142868042,0.2956937849521637,0.5353438258171082,1.3848627805709839
