,precision,recall,f1-score,support
autumn,0.0,0.0,0.0,529.0
spring,0.2824242424242424,1.0,0.44045368620037806,699.0
summer,0.0,0.0,0.0,626.0
winter,0.0,0.0,0.0,621.0
accuracy,0.2824242424242424,0.2824242424242424,0.2824242424242424,0.2824242424242424
macro avg,0.0706060606060606,0.25,0.11011342155009451,2475.0
weighted avg,0.07976345270890725,0.2824242424242424,0.12439479864810678,2475.0
