epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.2448638379573822,0.4942878484725952,9.999999747378752e-05,1.4011311531066895,0.260869562625885,0.004300047643482685,0.2956937849521637,0.5304625034332275,1.3855807781219482,0.0,0.0
1,0.23936933279037476,0.49356454610824585,9.999999747378752e-05,1.3864327669143677,0.0,0.0,0.21626794338226318,0.5,1.3861446380615234,0.0,0.0
2,0.23960821330547333,0.49526265263557434,9.999999747378752e-05,1.3866008520126343,0.0,0.0,0.290909081697464,0.5,1.3859068155288696,0.0,0.0
3,0.21261347830295563,0.4760129451751709,9.999999747378752e-05,1.3864374160766602,0.0,0.0,0.290909081697464,0.5,1.3861037492752075,0.0,0.0
4,0.27281415462493896,0.5217422246932983,9.999999747378752e-05,1.3864715099334717,0.0,0.0,0.2956937849521637,0.5,1.385908842086792,0.0,0.0
5,0.25776398181915283,0.49615415930747986,9.999999747378752e-05,1.3865073919296265,0.0,0.0,0.2956937849521637,0.5,1.3863574266433716,0.0,0.0
6,0.25322502851486206,0.5028524994850159,9.999999747378752e-05,1.3865338563919067,0.0,0.0,0.19712918996810913,0.5,1.386502981185913,0.0,0.0
7,0.21978022158145905,0.4812828004360199,9.999999747378752e-05,1.3864727020263672,0.0,0.0,0.19712918996810913,0.5,1.3864415884017944,0.0,0.0
8,0.21548017859458923,0.48212388157844543,1.9999999494757503e-05,1.3865141868591309,0.0,0.0,0.19712918996810913,0.5,1.3864655494689941,0.0,0.0
9,0.23268036544322968,0.48742440342903137,1.9999999494757503e-05,1.3863341808319092,0.0,0.0,0.19712918996810913,0.5,1.386499285697937,0.0,0.0
10,0.22240802645683289,0.4899137318134308,1.9999999494757503e-05,1.386427402496338,0.0,0.0,0.19712918996810913,0.5,1.3864549398422241,0.0,0.0
11,0.22766363620758057,0.4914672374725342,1.9999999494757503e-05,1.3863029479980469,0.0,0.0,0.19712918996810913,0.5,1.3864941596984863,0.0,0.0
12,0.22193025052547455,0.48438596725463867,1.9999999494757503e-05,1.3864363431930542,0.0,0.0,0.19712918996810913,0.5,1.3864984512329102,0.0,0.0
13,0.25609174370765686,0.49940812587738037,1.9999999494757503e-05,1.3862687349319458,0.0,0.0,0.19712918996810913,0.5,1.3863933086395264,0.0,0.0
14,0.23291926085948944,0.48903146386146545,1.9999999494757503e-05,1.386344313621521,0.0,0.0,0.19712918996810913,0.5,1.3864388465881348,0.0,0.0
15,0.24462494254112244,0.4949081540107727,3.999999989900971e-06,1.386217713356018,0.0,0.0,0.19712918996810913,0.5,1.386433720588684,0.0,0.0
16,0.23506927490234375,0.49373432993888855,3.999999989900971e-06,1.386285424232483,0.0,0.0,0.19712918996810913,0.5,1.3864336013793945,0.0,0.0
17,0.23817487061023712,0.49704912304878235,3.999999989900971e-06,1.3863245248794556,0.0,0.0,0.19712918996810913,0.5,1.386428713798523,0.0,0.0
18,0.2281414270401001,0.4880889654159546,3.999999989900971e-06,1.386423110961914,0.0,0.0,0.19712918996810913,0.5,1.386405110359192,0.0,0.0
19,0.23793597519397736,0.49389535188674927,3.999999989900971e-06,1.386345624923706,0.0,0.0,0.19712918996810913,0.5,1.3864154815673828,0.0,0.0
20,0.23936933279037476,0.49018874764442444,3.999999989900971e-06,1.3863880634307861,0.0,0.0,0.19712918996810913,0.5,1.3864108324050903,0.0,0.0
